source_id,total_records,active_records,reference_only_records,review_records,unresolved_structure_problems,status
MSCS_ACT_2002,227,210,17,0,0,PASS
MSCS_AMD_2023,52,38,3,11,0,REVIEW
MSCS_RULES_2002,35,30,5,0,0,PASS
MSCS_RULES_AMD_2023,73,67,5,1,0,REVIEW
KA_ACT_1959,331,275,56,0,0,PASS
MH_ACT_1960,665,618,47,0,0,PASS
MH_RULES_1961,215,199,15,1,0,REVIEW
PACS_MODEL_BYLAWS,115,107,8,0,0,PASS
PACS_COMPUTERIZATION,68,58,10,0,0,PASS
PMFBY_2023,966,858,106,2,0,REVIEW
CRCS_OMBUDSMAN,6,4,2,0,0,PASS
