chunk_id,source_id,record_type,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
MSCS_ACT_2002_SEC_17_SUB_5,MSCS_ACT_2002,child,act,Central,31,186,17,17,17,5,,,,"Amalgamation or transfer of assets and liabilities, or division of",membership,
MSCS_ACT_2002_SEC_17_SUB_6,MSCS_ACT_2002,child,act,Central,63,405,17,17,17,6,,,,"Amalgamation or transfer of assets and liabilities, or division of",claim;meetings;membership;multistate,
MSCS_ACT_2002_SEC_17_SUB_7,MSCS_ACT_2002,child,act,Central,88,536,17,17,17,7,,,,"Amalgamation or transfer of assets and liabilities, or division of",byelaws;registrar;registration,
MSCS_ACT_2002_SEC_17_SUB_8,MSCS_ACT_2002,child,act,Central,36,219,17,17,17,8,,,,"Amalgamation or transfer of assets and liabilities, or division of",multistate,
MSCS_ACT_2002_SEC_17_SUB_9,MSCS_ACT_2002,child,act,Central,54,353,17,17,17,9,,,,"Amalgamation or transfer of assets and liabilities, or division of",multistate,
MSCS_ACT_2002_SEC_18,MSCS_ACT_2002,child,act,Central,94,577,17,17,18,,,,,Central Registrar to prepare scheme of amalgamation or,registrar,
MSCS_ACT_2002_SEC_19,MSCS_ACT_2002,child,act,Central,235,1544,18,18,19,,,,,Promotion of subsidiary institution,governance;management;meetings;membership;multistate,
MSCS_ACT_2002_SEC_20,MSCS_ACT_2002,child,act,Central,144,888,18,19,20,,,,,Liability of a cooperative bank to deposit insurance and credit,deposits,
MSCS_ACT_2002_SEC_21,MSCS_ACT_2002,child,act,Central,292,1922,19,19,21,,,,,Cancellation of registration certificate of multi-state cooperative,multistate;registration,
MSCS_ACT_2002_SEC_22,MSCS_ACT_2002,child,act,Central,392,2483,19,20,22,,,,,Conversion of a cooperative society into a multi-state cooperative,byelaws;membership;multistate;registrar;registration;timeline,
MSCS_ACT_2002_SEC_23,MSCS_ACT_2002,child,act,Central,88,596,21,21,23,,,,,Registration of federal cooperative,meetings;membership;multistate;registration,
MSCS_ACT_2002_SEC_24,MSCS_ACT_2002,child,act,Central,219,1542,21,21,24,,,,,Functions of federal cooperative,byelaws;management;membership;multistate,
MSCS_ACT_2002_SEC_25,MSCS_ACT_2002,child,act,Central,335,2093,22,22,25,,,,,Persons who may become members,eligibility;membership;multistate;registrar;timeline,
MSCS_ACT_2002_SEC_26,MSCS_ACT_2002,child,act,Central,69,418,23,23,26,,,,,Nominal or associate members of society,byelaws;management;meetings;membership;multistate,
MSCS_ACT_2002_SEC_27,MSCS_ACT_2002,child,act,Central,34,273,23,23,27,,,,,Educational course for members,membership;multistate,
MSCS_ACT_2002_SEC_28,MSCS_ACT_2002,child,act,Central,52,298,23,23,28,,,,,Members not to exercise rights till due payment made,byelaws;membership;multistate,
MSCS_ACT_2002_SEC_29,MSCS_ACT_2002,child,act,Central,113,695,23,23,29,,,,,Disqualification for member of a multi-state cooperative society,byelaws;eligibility;meetings;membership;multistate,
MSCS_ACT_2002_SEC_30,MSCS_ACT_2002,child,act,Central,113,675,23,24,30,,,,,Expulsion of members,eligibility;meetings;membership;multistate,
MSCS_ACT_2002_SEC_31,MSCS_ACT_2002,child,act,Central,204,1233,24,24,31,,,,,Vote of members,byelaws;elections;meetings;membership;multistate,
MSCS_ACT_2002_SEC_32,MSCS_ACT_2002,child,act,Central,82,511,24,24,32,,,,,Manner of Exercising Vote,membership;multistate,
MSCS_ACT_2002_SEC_33,MSCS_ACT_2002,child,act,Central,68,409,25,25,33,,,,,Restriction on holding of shares,byelaws;membership;multistate,
MSCS_ACT_2002_SEC_34,MSCS_ACT_2002,child,act,Central,40,234,25,25,34,,,,,Restriction on transfer of shares or interest,membership;multistate,
MSCS_ACT_2002_SEC_35,MSCS_ACT_2002,child,act,Central,93,547,25,25,35,,,,,Redemption of shares,byelaws;multistate,
MSCS_ACT_2002_SEC_36,MSCS_ACT_2002,child,act,Central,210,1207,25,26,36,,,,,Transfer of interest on death of members,byelaws;membership;multistate,
MSCS_ACT_2002_SEC_37,MSCS_ACT_2002,child,act,Central,184,1015,26,26,37,,,,,Liabilities of past member and estate of deceased member,membership;multistate,
MSCS_ACT_2002_SEC_38,MSCS_ACT_2002,child,act,Central,322,2044,26,27,38,,,,,"Constitution, powers and functions of general body",byelaws;management;meetings;membership;multistate,
MSCS_ACT_2002_SEC_39,MSCS_ACT_2002,child,act,Central,334,1985,27,28,39,,,,,Annual general meeting of general body,byelaws;elections;loans;meetings;membership;multistate;registrar;timeline,
MSCS_ACT_2002_SEC_40,MSCS_ACT_2002,child,act,Central,191,1096,28,28,40,,,,,Special general meeting of general body,byelaws;meetings;membership;multistate;registrar,
MSCS_ACT_2002_SEC_41,MSCS_ACT_2002,child,act,Central,150,924,28,29,41,,,,,Board of directors,byelaws;governance;meetings;membership;multistate,
MSCS_ACT_2002_SEC_42,MSCS_ACT_2002,child,act,Central,70,468,29,29,42,,,,,Association of employees in management decision making process,byelaws;management;multistate,
MSCS_ACT_2002_SEC_43,MSCS_ACT_2002,parent,act,Central,667,3743,29,31,43,,,,,Disqualifications for being a member of board,elections;eligibility;loans;meetings;membership;multistate,
MSCS_ACT_2002_SEC_43_SUB_1,MSCS_ACT_2002,child,act,Central,588,3280,29,30,43,1,,,,Disqualifications for being a member of board,elections;eligibility;loans;meetings;membership;multistate,
MSCS_ACT_2002_SEC_43_SUB_2,MSCS_ACT_2002,child,act,Central,71,410,30,31,43,2,,,,Disqualifications for being a member of board,elections;eligibility;meetings;membership;multistate,
MSCS_ACT_2002_SEC_44,MSCS_ACT_2002,child,act,Central,174,1037,31,31,44,,,,,Prohibition to hold office of chairperson or president or vice,elections;eligibility;membership;multistate,
MSCS_ACT_2002_SEC_45,MSCS_ACT_2002,child,act,Central,267,1553,31,32,45,,,,,Elections of members of board,byelaws;elections;eligibility;meetings;membership;multistate;registrar;timeline,
MSCS_ACT_2002_SEC_46,MSCS_ACT_2002,child,act,Central,44,287,32,32,46,,,,,Holding of office in cooperative society,eligibility;multistate,
MSCS_ACT_2002_SEC_47,MSCS_ACT_2002,child,act,Central,95,547,32,32,47,,,,,Removal of elected members by general body,meetings;membership;multistate;registrar,
MSCS_ACT_2002_SEC_48,MSCS_ACT_2002,child,act,Central,346,2045,32,33,48,,,,,Nominee of Central Government or State Government on the board,loans;membership;multistate,
MSCS_ACT_2002_SEC_49,MSCS_ACT_2002,child,act,Central,236,1435,33,34,49,,,,,Powers and functions of board,byelaws;loans;membership;multistate,
MSCS_ACT_2002_SEC_50,MSCS_ACT_2002,child,act,Central,124,692,34,34,50,,,,,Meeting of board,byelaws;meetings;membership;multistate,
MSCS_ACT_2002_SEC_51,MSCS_ACT_2002,child,act,Central,130,805,34,34,51,,,,,Chief Executive,membership;multistate,
MSCS_ACT_2002_SEC_52,MSCS_ACT_2002,child,act,Central,264,1787,35,35,52,,,,,Powers and functions of Chief Executive,byelaws;documents;management;meetings;multistate;timeline,
MSCS_ACT_2002_SEC_53,MSCS_ACT_2002,child,act,Central,78,528,35,35,53,,,,,Committees of board,byelaws;multistate,
MSCS_ACT_2002_SEC_54,MSCS_ACT_2002,child,act,Central,230,1350,36,36,54,,,,,"Securing possession of records, etc",meetings;membership;multistate,
MSCS_ACT_2002_SEC_55,MSCS_ACT_2002,child,act,Central,122,675,36,36,55,,,,,Charge and set-off in respect of share or contribution or interest of,deposits;membership;multistate,
MSCS_ACT_2002_SEC_56,MSCS_ACT_2002,child,act,Central,157,890,37,37,56,,,,,Share of contribution or interest not liable to attachment,byelaws;claim;membership;multistate,
MSCS_ACT_2002_SEC_57,MSCS_ACT_2002,child,act,Central,62,351,37,37,57,,,,,Register of members,membership;multistate,
MSCS_ACT_2002_SEC_58,MSCS_ACT_2002,child,act,Central,180,1042,37,37,58,,,,,Admissibility of copy of entry as evidence,documents;multistate,
MSCS_ACT_2002_SEC_59,MSCS_ACT_2002,child,act,Central,150,926,37,38,59,,,,,Exemption from compulsory registration of instruments,multistate;registration,
MSCS_ACT_2002_SEC_60,MSCS_ACT_2002,child,act,Central,333,1890,38,38,60,,,,,Deduction from salary to meet multi-state cooperative society’s,claim;membership;multistate;reporting,
MSCS_ACT_2002_SEC_61,MSCS_ACT_2002,child,act,Central,167,1112,39,39,61,,,,,Government aid to multi-state cooperative societies,loans;multistate,
MSCS_ACT_2002_SEC_62,MSCS_ACT_2002,child,act,Central,268,1701,39,40,62,,,,,Funds not to be divided by way of profit,byelaws;deposits;loans;membership;multistate,
MSCS_ACT_2002_SEC_63,MSCS_ACT_2002,child,act,Central,208,1246,40,40,63,,,,,Disposal of net profits,byelaws;meetings;membership;multistate,
MSCS_ACT_2002_SEC_64,MSCS_ACT_2002,child,act,Central,222,1315,40,41,64,,,,,Investment of funds,byelaws;deposits;multistate,
MSCS_ACT_2002_SEC_65,MSCS_ACT_2002,child,act,Central,38,245,41,41,65,,,,,Restriction on contribution,multistate,
MSCS_ACT_2002_SEC_66,MSCS_ACT_2002,child,act,Central,59,353,41,41,66,,,,,Restriction on loans,deposits;loans;membership;multistate,
MSCS_ACT_2002_SEC_67,MSCS_ACT_2002,child,act,Central,163,1052,41,42,67,,,,,Restrictions on borrowing,byelaws;deposits;loans;multistate,
MSCS_ACT_2002_SEC_68,MSCS_ACT_2002,child,act,Central,46,287,42,42,68,,,,,Restrictions on other transactions with non-members,byelaws;membership;multistate,
MSCS_ACT_2002_SEC_69,MSCS_ACT_2002,child,act,Central,129,796,42,42,69,,,,,Contributory provident fund,byelaws;multistate,
MSCS_ACT_2002_SEC_70,MSCS_ACT_2002,parent,act,Central,656,4064,42,44,70,,,,,Appointment and remuneration of auditors,meetings;membership;multistate;registrar;registration;reporting;timeline,
MSCS_ACT_2002_SEC_70_SUB_1,MSCS_ACT_2002,child,act,Central,26,155,42,42,70,1,,,,Appointment and remuneration of auditors,multistate,
MSCS_ACT_2002_SEC_70_SUB_2,MSCS_ACT_2002,child,act,Central,83,525,43,43,70,2,,,,Appointment and remuneration of auditors,meetings;multistate;registrar;reporting;timeline,
