chunk_id,source_id,record_type,retrieval_status,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
MH_RULES_1961_RULE_21,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,262,1469,18,19,,,21,,,Withdrawal of Membership:,membership,
MH_RULES_1961_RULE_22,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,323,2005,19,19,,,22,,,Voting rights of individual members in a Federal Society:- (1)In the case,elections;governance;meetings;membership;registrar;registration,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_23,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,611,3507,19,20,,,23,,,Valuation of shares:,documents;membership;registration,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_27,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,327,1878,20,21,,,27,,,Supply of copies of documents by societies and fees therefore:- (1) A,deposits;documents;membership,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_29,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,218,1267,21,21,,,29,,,Procedure for expulsion of members:- (1) Where any member of a,meetings;registrar,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_30,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,169,986,21,22,,,30,,,Inspection of documents in the Registrar's office by members of,appeal;documents;registrar;registration,
MH_RULES_1961_RULE_31,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,289,1704,22,22,,,31,,,Procedure for change of address of societies:- (1) Every society shall,registrar;registration,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_34,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,47,263,23,23,,,34,,,Certified copies of entries in books of societies:- For the purposes of,,
MH_RULES_1961_RULE_35,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,290,1780,23,23,,,35,,,Conditions for borrowing by societies with limited liability: - (1) No,deposits;loans;registrar,STRUCTURE_UNCERTAIN
MH_RULES_1961_RULE_36,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,182,1100,23,23,,,36,,,Conditions for borrowing of Maharashtra State Co-operative Bank:,deposits;loans;registrar,
MH_RULES_1961_RULE_37,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,37,251,23,23,,,37,,,Conditions for borrowing of Land Development Banks:- Land Development,loans,
MH_RULES_1961_RULE_38,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,350,2009,23,24,,,38,,,Loans and deposits from non-members in unlimited liability societies:,deposits;loans;meetings;registrar,
MH_RULES_1961_RULE_40,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,55,335,24,24,,,40,,,"Additional conditions for raising funds by societies:- The Registrar may, by",deposits;loans;registrar,
MH_RULES_1961_RULE_41,MH_RULES_1961,child,ACTIVE,rules,Maharashtra,75,450,24,24,,,41,,,Maintenance of liquid resources and distribution of assets:- Every society,deposits;registrar,
