chunk_id,source_id,record_type,retrieval_status,document_type,jurisdiction,word_count,char_count,page_start,page_end,section,subsection,rule,subrule,clause,heading,topics,warning
MH_ACT_1960_SEC_98,MH_ACT_1960,child,ACTIVE,act,Maharashtra,232,1300,62,62,98,,,,,Money how recovered,appeal;registrar;state_law,
MH_ACT_1960_SEC_99,MH_ACT_1960,child,ACTIVE,act,Maharashtra,68,424,62,62,99,,,,,Private transfer of property made after issue of certificate void against society,registrar;state_law,
MH_ACT_1960_SEC_100,MH_ACT_1960,child,ACTIVE,act,Maharashtra,334,1901,62,62,100,,,,,Transfer of property which cannot be sold,registrar;state_law,
MH_ACT_1960_SEC_101,MH_ACT_1960,parent,REFERENCE_ONLY,act,Maharashtra,607,3570,63,63,101,,,,,Recovery of arrears due to certain societies as arrears of recovery of land revenue,loans;registrar;state_law,
MH_ACT_1960_SEC_101_SUB_1,MH_ACT_1960,child,ACTIVE,act,Maharashtra,385,2284,63,63,101,1,,,,Recovery of arrears due to certain societies as arrears of recovery of land revenue,loans;registrar;state_law,
MH_ACT_1960_SEC_101_SUB_2,MH_ACT_1960,child,ACTIVE,act,Maharashtra,78,443,63,63,101,2,,,,Recovery of arrears due to certain societies as arrears of recovery of land revenue,registrar;state_law,
MH_ACT_1960_SEC_101_SUB_3,MH_ACT_1960,child,ACTIVE,act,Maharashtra,49,268,63,63,101,3,,,,Recovery of arrears due to certain societies as arrears of recovery of land revenue,registrar;state_law,
MH_ACT_1960_SEC_101_SUB_4,MH_ACT_1960,child,ACTIVE,act,Maharashtra,80,478,63,63,101,4,,,,Recovery of arrears due to certain societies as arrears of recovery of land revenue,registrar;state_law,
MH_ACT_1960_SEC_102,MH_ACT_1960,child,ACTIVE,act,Maharashtra,220,1226,64,64,102,,,,,Winding up,byelaws;deposits;management;meetings;registrar;registration;state_law,
MH_ACT_1960_SEC_103,MH_ACT_1960,child,ACTIVE,act,Maharashtra,372,2163,64,64,103,,,,,Appointment of Liquidator,documents;registrar;state_law,
MH_ACT_1960_SEC_104,MH_ACT_1960,child,ACTIVE,act,Maharashtra,163,904,65,65,104,,,,,Appeal against order of winding up,appeal;registrar;state_law,
MH_ACT_1960_SEC_105,MH_ACT_1960,parent,REFERENCE_ONLY,act,Maharashtra,719,4155,65,66,105,,,,,Powers of Liquidator,documents;elections;registrar;state_law,
MH_ACT_1960_SEC_105_SUB_1,MH_ACT_1960,child,ACTIVE,act,Maharashtra,675,3894,65,66,105,1,,,,Powers of Liquidator,documents;registrar;state_law,
MH_ACT_1960_SEC_105_SUB_2,MH_ACT_1960,child,ACTIVE,act,Maharashtra,40,230,66,66,105,2,,,,Powers of Liquidator,elections;state_law,
MH_ACT_1960_SEC_106,MH_ACT_1960,child,ACTIVE,act,Maharashtra,151,851,66,66,106,,,,,Effect of order of winding up,appeal;registrar;state_law,
MH_ACT_1960_SEC_107,MH_ACT_1960,child,ACTIVE,act,Maharashtra,130,720,66,66,107,,,,,Bar of suit in winding up and dissolution matters,registrar;state_law,
MH_ACT_1960_SEC_108,MH_ACT_1960,child,ACTIVE,act,Maharashtra,237,1350,66,67,108,,,,,Audit of Liquidators accounts,registrar;state_law,
MH_ACT_1960_SEC_109,MH_ACT_1960,child,ACTIVE,act,Maharashtra,330,2029,67,67,109,,,,,Termination of liquidation proceedings,documents;meetings;registrar;state_law,
MH_ACT_1960_SEC_110,MH_ACT_1960,child,ACTIVE,act,Maharashtra,273,1571,67,67,110,,,,,Disposal of surplus assets,byelaws;eligibility;meetings;registrar;state_law,
MH_ACT_1960_CONTEXT_131,MH_ACT_1960,child,ACTIVE,act,Maharashtra,432,2575,68,68,,,,,,,deposits;management;meetings;registrar;state_law,SECTION_IDENTIFIER_MISSING;STRUCTURE_UNCERTAIN
MH_ACT_1960_SEC_111,MH_ACT_1960,child,ACTIVE,act,Maharashtra,575,4025,69,70,111,,,,,Application of Chapter XI of Agriculture and Rural Development Banks,loans;registrar;state_law,
MH_ACT_1960_SEC_112,MH_ACT_1960,child,ACTIVE,act,Maharashtra,231,1362,70,70,112,,,,,State and other Agriculture and Rural Development banks,documents;state_law,
